customer_id,signup_date,last_active_date,subscription_type,monthly_usage_minutes,support_tickets_last_90_days,churned;;;;;;;;;;;;;
C001,2023-01-15,2023-07-10,Premium,520.5,2,0;;;;;;;;;;;;;
C002,2022-11-03,2023-06-01,Basic,210.0,1,1;;;;;;;;;;;;;
C003,2023-03-22,2023-08-15,Free,45.2,,1;;;;;;;;;;;;;
C004,2021-12-30,2023-07-25,Premium,610.8,3,0;;;;;;;;;;;;;
C005,2022-06-18,2023-05-30,Basic,190.4,2,1;;;DATASET;;;;;;;;;;
C006,2023-02-10,2023-08-20,Free,60.0,,0;;;;;;;;;;;;;
C007,2022-09-05,2023-07-01,Premium,480.3,1,1;;;;;;;;;;;;;
C008,2023-04-01,2023-08-10,Basic,230.7,2,0;;;;;;;;;;;;;
C009,2022-10-12,2023-06-15,Free,35.0,,1;;;;;;;;;;;;;
C010,2023-01-25,2023-08-18,Premium,550.0,4,0;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
customer_id;signup_date;last_active_date;subscription_type;monthly_usage_minutes;support_tickets_last_90_days;churned;;;;;;;
C001;15.1.2023;10.7.2023;Premium;520.5;2;0;;;;;;;
C002;3.11.2022;1.6.2023;Basic;210.0;1;1;;;;;;;
C003;22.3.2023;15.8.2023;Free;45.2;;1;;;;;;;
C004;30.12.2021;25.7.2023;Premium;610.8;3;0;;;;;;;
C005;18.6.2022;30.5.2023;Basic;190.4;2;1;;;;;;;
C006;10.2.2023;20.8.2023;Free;60.0;;0;MADE TO A TABLE;;;;;;
C007;5.9.2022;1.7.2023;Premium;480.3;1;1;;;;;;;
C008;1.4.2023;10.8.2023;Basic;230.7;2;0;;;;;;;
C009;12.10.2022;15.6.2023;Free;35.0;;1;;;;;;;
C010;25.1.2023;18.8.2023;Premium;550.0;4;0;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
customer_id;signup_date;last_active_date;subscription_type;monthly_usage_minutes;support_tickets_last_90_days;churned;;;;;;;
C001;15.1.2023;10.7.2023;Premium;520.5;2;0;;;;;;;
C002;3.11.2022;1.6.2023;Basic;210.0;1;1;;;;;;;
C003;22.3.2023;15.8.2023;Free;45.2;2;1;;;;;;;
C004;30.12.2021;25.7.2023;Premium;610.8;3;0;IMPROVED TABLE;;;;;;
C005;18.6.2022;30.5.2023;Basic;190.4;2;1;;;;;;;
C006;10.2.2023;20.8.2023;Free;60.0;2;0;;;;;;;
C007;5.9.2022;1.7.2023;Premium;480.3;1;1;;;;;;;
C008;1.4.2023;10.8.2023;Basic;230.7;2;0;;;;;;;
C009;12.10.2022;15.6.2023;Free;35.0;2;1;;;;;;;
C010;25.1.2023;18.8.2023;Premium;550.0;4;0;;;;;;;
