customerID,gender,is_male,SeniorCitizen,Partner,has_partner,Dependents,has_dependents,PhoneService,has_phone,InternetService,fiber_optic,OnlineSecurity,has_security,StreamingTV,streams_tv,Contract,is_monthly
7590-VHVEG,Female,0,0,Yes,1,No,0,No,0,DSL,0,No,0,No,0,Month-to-month,1
5575-GNVDE,Male,1,0,No,0,No,0,Yes,1,DSL,0,Yes,1,No,0,"One year",0
3668-QPYBK,Male,1,0,No,0,No,0,Yes,1,DSL,0,Yes,1,No,0,Month-to-month,1
7795-CFOCW,Male,1,0,No,0,No,0,No,0,DSL,0,Yes,1,No,0,"One year",0
9237-HQITU,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
9305-CDSKC,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
1452-KIOVK,Male,1,0,No,0,Yes,1,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
6713-OKOMC,Female,0,0,No,0,No,0,No,0,DSL,0,Yes,1,No,0,Month-to-month,1
7892-POOKP,Female,0,0,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
6388-TABGU,Male,1,0,No,0,Yes,1,Yes,1,DSL,0,Yes,1,No,0,"One year",0
9763-GRSKD,Male,1,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,No,0,Month-to-month,1
7469-LKBCI,Male,1,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
8091-TTVAX,Male,1,0,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,"One year",0
0280-XJGEX,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
5129-JLPIS,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,Yes,1,Yes,1,Month-to-month,1
3655-SNQYZ,Female,0,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,Yes,1,Yes,1,"Two year",0
8191-XWSZG,Female,0,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"One year",0
9959-WOFKT,Male,1,0,No,0,Yes,1,Yes,1,"Fiber optic",1,Yes,1,Yes,1,"Two year",0
4190-MFLUW,Female,0,0,Yes,1,Yes,1,Yes,1,DSL,0,No,0,No,0,Month-to-month,1
4183-MYFRB,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
8779-QRDMV,Male,1,1,No,0,No,0,No,0,DSL,0,No,0,No,0,Month-to-month,1
1680-VDCWW,Male,1,0,Yes,1,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"One year",0
1066-JKSGK,Male,1,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,Month-to-month,1
3638-WEABW,Female,0,0,Yes,1,No,0,Yes,1,DSL,0,No,0,No,0,"Two year",0
6322-HRPFA,Male,1,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,No,0,Month-to-month,1
6865-JZNKO,Female,0,0,No,0,No,0,Yes,1,DSL,0,Yes,1,No,0,Month-to-month,1
6467-CHFZW,Male,1,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
8665-UTDHZ,Male,1,0,Yes,1,Yes,1,No,0,DSL,0,No,0,No,0,Month-to-month,1
5248-YGIJN,Male,1,0,Yes,1,No,0,Yes,1,DSL,0,Yes,1,Yes,1,"Two year",0
8773-HHUOZ,Female,0,0,No,0,Yes,1,Yes,1,DSL,0,No,0,Yes,1,Month-to-month,1
3841-NFECX,Female,0,1,Yes,1,No,0,Yes,1,"Fiber optic",1,Yes,1,No,0,"Two year",0
4929-XIHVW,Male,1,1,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
6827-IEAUQ,Female,0,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,No,0,"One year",0
7310-EGVHZ,Male,1,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,Month-to-month,1
3413-BMNZE,Male,1,1,No,0,No,0,Yes,1,DSL,0,No,0,No,0,Month-to-month,1
6234-RAAPL,Female,0,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,Yes,1,Yes,1,"Two year",0
6047-YHPVI,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
6572-ADKRS,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
5380-WJKOV,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
8168-UQWWF,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
8865-TNMNX,Male,1,0,Yes,1,Yes,1,Yes,1,DSL,0,No,0,No,0,"One year",0
9489-DEDVP,Female,0,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,Yes,1,"Two year",0
9867-JCZSP,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"One year",0
4671-VJLCL,Female,0,0,No,0,No,0,Yes,1,DSL,0,Yes,1,Yes,1,"Two year",0
4080-IIARD,Female,0,0,Yes,1,No,0,Yes,1,DSL,0,Yes,1,Yes,1,Month-to-month,1
3714-NTNFO,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
5948-UJZLF,Male,1,0,No,0,No,0,Yes,1,DSL,0,No,0,No,0,Month-to-month,1
7760-OYPDY,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
7639-LIAYI,Male,1,0,No,0,No,0,Yes,1,DSL,0,Yes,1,Yes,1,"Two year",0
2954-PIBKO,Female,0,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,No,0,"Two year",0
8012-SOUDQ,Female,0,1,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
9420-LOJKX,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,Yes,1,Yes,1,Month-to-month,1
6575-SUVOI,Female,0,1,Yes,1,No,0,Yes,1,DSL,0,Yes,1,Yes,1,Month-to-month,1
7495-OOKFY,Female,0,1,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
4667-QONEA,Female,0,1,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,No,0,"One year",0
1658-BYGOY,Male,1,1,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
8769-KKTPH,Female,0,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,Yes,1,Yes,1,"One year",0
5067-XJQFU,Male,1,1,Yes,1,Yes,1,Yes,1,"Fiber optic",1,No,0,Yes,1,"One year",0
3957-SQXML,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
