customerID;MonthlyCharges;tenure;CustomerValue;Churn
7590-VHVEG;29.85;1;29.85;No
5575-GNVDE;56.95;34;1936.30;No
3668-QPYBK;53.85;2;107.70;Yes
7795-CFOCW;42.30;45;1903.50;No
9237-HQITU;70.70;2;141.40;Yes
9305-CDSKC;99.65;8;797.20;Yes
1452-KIOVK;89.10;22;1960.20;No
6713-OKOMC;29.75;10;297.50;No
7892-POOKP;104.80;28;2934.40;Yes
6388-TABGU;56.15;62;3481.30;No
9763-GRSKD;49.95;13;649.35;No
7469-LKBCI;18.95;16;303.20;No
8091-TTVAX;100.35;58;5820.30;No
0280-XJGEX;103.70;49;5081.30;Yes
5129-JLPIS;105.50;25;2637.50;No
3655-SNQYZ;113.25;69;7814.25;No
8191-XWSZG;20.65;52;1073.80;No
9959-WOFKT;106.70;71;7575.70;No
4190-MFLUW;55.20;10;552.00;Yes
4183-MYFRB;90.05;21;1891.05;No
8779-QRDMV;39.65;1;39.65;Yes
1680-VDCWW;19.80;12;237.60;No
1066-JKSGK;20.15;1;20.15;Yes
3638-WEABW;59.90;58;3474.20;No
6322-HRPFA;59.60;49;2920.40;No
6865-JZNKO;55.30;30;1659.00;No
6467-CHFZW;99.35;47;4669.45;Yes
8665-UTDHZ;30.20;1;30.20;Yes
5248-YGIJN;90.25;72;6498.00;No
8773-HHUOZ;64.70;17;1099.90;Yes
3841-NFECX;96.35;71;6840.85;No
4929-XIHVW;95.50;2;191.00;No
6827-IEAUQ;66.15;27;1786.05;No
7310-EGVHZ;20.20;1;20.20;No
3413-BMNZE;45.25;1;45.25;No
6234-RAAPL;99.90;72;7192.80;No
6047-YHPVI;69.70;5;348.50;Yes
6572-ADKRS;74.80;46;3440.80;No
5380-WJKOV;106.35;34;3615.90;Yes
8168-UQWWF;97.85;11;1076.35;Yes
8865-TNMNX;49.55;10;495.50;No
9489-DEDVP;69.20;70;4844.00;No
9867-JCZSP;20.75;17;352.75;No
4671-VJLCL;79.85;63;5030.55;No
4080-IIARD;76.20;13;990.60;No
3714-NTNFO;84.50;49;4140.50;No
5948-UJZLF;49.25;2;98.50;No
7760-OYPDY;80.65;2;161.30;Yes
7639-LIAYI;79.75;52;4147.00;No
2954-PIBKO;64.15;69;4426.35;No
8012-SOUDQ;90.25;43;3880.75;No
9420-LOJKX;99.10;15;1486.50;Yes
6575-SUVOI;69.50;25;1737.50;No
7495-OOKFY;80.65;8;645.20;Yes
4667-QONEA;74.85;60;4491.00;No
1658-BYGOY;95.45;18;1718.10;Yes
8769-KKTPH;99.65;63;6277.95;No
5067-XJQFU;108.45;66;7157.70;No
3957-SQXML;24.95;34;848.30;No
