customerID;MonthlyCharges;tenure;Contract;Churn;CustomerValue;RiskLevel
7590-VHVEG;29.85;1;Month-to-month;No;29.85;Medium Risk
5575-GNVDE;56.95;34;One year;No;1936.30;Low Risk
3668-QPYBK;53.85;2;Month-to-month;Yes;107.70;High Risk
7795-CFOCW;42.30;45;One year;No;1903.50;Low Risk
9237-HQITU;70.70;2;Month-to-month;Yes;141.40;High Risk
9305-CDSKC;99.65;8;Month-to-month;Yes;797.20;High Risk
1452-KIOVK;89.10;22;Month-to-month;No;1960.20;Unknown Risk
6713-OKOMC;29.75;10;Month-to-month;No;297.50;Medium Risk
7892-POOKP;104.80;28;Month-to-month;Yes;2934.40;High Risk
6388-TABGU;56.15;62;One year;No;3481.30;Low Risk
9763-GRSKD;49.95;13;Month-to-month;No;649.35;Unknown Risk
7469-LKBCI;18.95;16;Two year;No;303.20;Low Risk
8091-TTVAX;100.35;58;One year;No;5820.30;Low Risk
0280-XJGEX;103.70;49;Month-to-month;Yes;5081.30;High Risk
5129-JLPIS;105.50;25;Month-to-month;No;2637.50;Unknown Risk
3655-SNQYZ;113.25;69;Two year;No;7814.25;Low Risk
8191-XWSZG;20.65;52;One year;No;1073.80;Low Risk
9959-WOFKT;106.70;71;Two year;No;7575.70;Low Risk
4190-MFLUW;55.20;10;Month-to-month;Yes;552.00;High Risk
4183-MYFRB;90.05;21;Month-to-month;No;1891.05;Unknown Risk
8779-QRDMV;39.65;1;Month-to-month;Yes;39.65;High Risk
1680-VDCWW;19.80;12;One year;No;237.60;Low Risk
1066-JKSGK;20.15;1;Month-to-month;Yes;20.15;High Risk
3638-WEABW;59.90;58;Two year;No;3474.20;Low Risk
6322-HRPFA;59.60;49;Month-to-month;No;2920.40;Unknown Risk
6865-JZNKO;55.30;30;Month-to-month;No;1659.00;Unknown Risk
6467-CHFZW;99.35;47;Month-to-month;Yes;4669.45;High Risk
8665-UTDHZ;30.20;1;Month-to-month;Yes;30.20;High Risk
5248-YGIJN;90.25;72;Two year;No;6498.00;Low Risk
8773-HHUOZ;64.70;17;Month-to-month;Yes;1099.90;High Risk
3841-NFECX;96.35;71;Two year;No;6840.85;Low Risk
4929-XIHVW;95.50;2;Month-to-month;No;191.00;Medium Risk
6827-IEAUQ;66.15;27;One year;No;1786.05;Low Risk
7310-EGVHZ;20.20;1;Month-to-month;No;20.20;Medium Risk
3413-BMNZE;45.25;1;Month-to-month;No;45.25;Medium Risk
6234-RAAPL;99.90;72;Two year;No;7192.80;Low Risk
6047-YHPVI;69.70;5;Month-to-month;Yes;348.50;High Risk
6572-ADKRS;74.80;46;Month-to-month;No;3440.80;Unknown Risk
5380-WJKOV;106.35;34;Month-to-month;Yes;3615.90;High Risk
8168-UQWWF;97.85;11;Month-to-month;Yes;1076.35;High Risk
8865-TNMNX;49.55;10;One year;No;495.50;Unknown Risk
9489-DEDVP;69.20;70;Two year;No;4844.00;Low Risk
9867-JCZSP;20.75;17;One year;No;352.75;Low Risk
4671-VJLCL;79.85;63;Two year;No;5030.55;Low Risk
4080-IIARD;76.20;13;Month-to-month;No;990.60;Unknown Risk
3714-NTNFO;84.50;49;Month-to-month;No;4140.50;Unknown Risk
5948-UJZLF;49.25;2;Month-to-month;No;98.50;Medium Risk
7760-OYPDY;80.65;2;Month-to-month;Yes;161.30;High Risk
7639-LIAYI;79.75;52;Two year;No;4147.00;Low Risk
2954-PIBKO;64.15;69;Two year;No;4426.35;Low Risk
